,Brood Year,Nwr Population Name,Number Of Spawners,Start Year,End Year,Stream Name
616,1975,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1000.0,1975.0,2008.0,Snake River
617,1976,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,470.0,1975.0,2008.0,Snake River
618,1977,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,600.0,1975.0,2008.0,Snake River
619,1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,Snake River
620,1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1975.0,2008.0,Snake River
621,1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1975.0,2008.0,Snake River
622,1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1975.0,2008.0,Snake River
623,1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1975.0,2008.0,Snake River
624,1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,1975.0,2008.0,Snake River
625,1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,Snake River
626,1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,1975.0,2008.0,Snake River
627,1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,1975.0,2008.0,Snake River
628,1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,1975.0,2008.0,Snake River
629,1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,1975.0,2008.0,Snake River
630,1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,1975.0,2008.0,Snake River
631,1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,1975.0,2008.0,Snake River
632,1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,1975.0,2008.0,Snake River
633,1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,1975.0,2008.0,Snake River
634,1993,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,952.0,1975.0,2008.0,Snake River
635,1994,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,606.0,1975.0,2008.0,Snake River
636,1995,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,637.0,1975.0,2008.0,Snake River
637,1996,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,919.0,1975.0,2008.0,Snake River
638,1997,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1007.0,1975.0,2008.0,Snake River
