,Brood Year,Nwr Population Name,Number Of Spawners,Start Year,End Year,Effective Catch,Fracwild
616,1975,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1000.0,1975.0,2008.0,1851.0,1.0
617,1976,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,470.0,1975.0,2008.0,617.0,1.0
618,1977,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,600.0,1975.0,2008.0,1097.0,1.0
619,1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,1011.0,1.0
620,1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1975.0,2008.0,514.0,1.0
621,1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1975.0,2008.0,159.0,1.0
622,1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1975.0,2008.0,150.0,1.0
623,1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1975.0,2008.0,200.0,1.0
624,1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,1975.0,2008.0,267.0,0.79
625,1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,433.0,0.51
626,1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,1975.0,2008.0,498.0,0.63
627,1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,1975.0,2008.0,1366.0,0.57
628,1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,1975.0,2008.0,793.0,0.27
629,1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,1975.0,2008.0,1555.0,0.59
630,1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,1975.0,2008.0,955.0,0.42
631,1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,1975.0,2008.0,270.0,0.23
632,1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,1975.0,2008.0,638.0,0.54
633,1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,1975.0,2008.0,893.0,0.82
634,1993,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,952.0,1975.0,2008.0,1284.0,0.78
635,1994,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,606.0,1975.0,2008.0,373.0,0.67
636,1995,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,637.0,1975.0,2008.0,263.0,0.55
637,1996,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,919.0,1975.0,2008.0,392.0,0.7
638,1997,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1007.0,1975.0,2008.0,784.0,0.79
639,1998,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,962.0,1975.0,2008.0,218.0,0.32
640,1999,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1862.0,1975.0,2008.0,861.0,0.49
641,2000,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,2664.0,1975.0,2008.0,978.0,0.43
642,2001,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9875.0,1975.0,2008.0,3171.0,0.52
643,2002,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9891.0,1975.0,2008.0,1891.0,0.21
644,2003,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13104.0,1975.0,2008.0,3036.0,0.29
645,2004,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13146.0,1975.0,2008.0,2659.0,0.23
646,2005,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10194.0,1975.0,2008.0,3222.0,0.26
647,2006,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,7784.0,1975.0,2008.0,2808.0,0.32
648,2007,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10327.0,1975.0,2008.0,1476.0,0.17
649,2008,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,17266.0,1975.0,2008.0,1555.0,0.11
660,1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,122.0,1955.0,2009.0,,1.0
661,1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,2606.0,1955.0,2009.0,,1.0
662,1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1754.0,1955.0,2009.0,,1.0
663,1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,486.0,1955.0,2009.0,1760.0,1.0
664,1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,712.0,1955.0,2009.0,1560.0,1.0
665,1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,3161.0,1955.0,2009.0,4444.0,1.0
666,1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,347.0,1955.0,2009.0,378.0,1.0
