Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Predicted_Wild_Spawners
1951,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1761.0,1.0,1761.0,2452.1251365734934
1953,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2920.0,1.0,2920.0,2516.2064244382927
1954,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3054.0,1.0,3054.0,2905.720693058858
1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,5856.0,1.0,5856.0,2874.8919265686272
1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1728.0,1.0,1728.0,2921.8717733509984
1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,6267.0,1.0,6267.0,3349.641701687404
1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1399.0,1.0,1399.0,2808.1389083257673
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,965.0,1.0,965.0,3253.3832646952214
1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2710.0,1.0,2710.0,2502.4978731271403
1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1854.0,1.0,1854.0,2061.0024243538064
1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2081.0,1.0,2081.0,2337.5812380419375
1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1116.0,1.0,1116.0,2188.8235783125856
1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2097.0,1.0,2097.0,1869.069334482294
1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1586.0,1.0,1586.0,1868.184174486145
1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1871.0,1.0,1871.0,2066.7786731095403
1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1804.0,1.0,1804.0,2007.9438309724646
1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2022.0,1.0,2022.0,1992.380714033905
1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2534.0,1.0,2534.0,1973.030848314971
1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1477.0,1.0,1477.0,1998.850977607828
1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3071.0,1.0,3071.0,2052.168173927799
1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2819.0,1.0,2819.0,1887.5082108347706
1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,4363.0,1.0,4363.0,2105.5459938385175
1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2324.0,1.0,2324.0,2196.7990912230307
1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1250.0,1.0,1250.0,2400.2549635396717
1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1065.0,1.0,1065.0,2004.6498188115656
1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1200.0,1.0,1200.0,1572.7060268800851
