Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Start_Year,End_Year,Effective_Catch,Fracwild,Spawners_Prev_Yr,Eff_Catch_Prev_Yr,Fracwild_Prev_Yr,Spawners_Two_Yrs_Prior,Eff_Catch_Two_Yrs_Prior,Fracwild_Two_Yrs_Prior
1977,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,600.0,1975.0,2008.0,1097.0,1.0,470.0,617.0,1.0,1000.0,1851.0,1.0
1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,1011.0,1.0,600.0,1097.0,1.0,470.0,617.0,1.0
1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1975.0,2008.0,514.0,1.0,640.0,1011.0,1.0,600.0,1097.0,1.0
1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1975.0,2008.0,159.0,1.0,500.0,514.0,1.0,640.0,1011.0,1.0
1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1975.0,2008.0,150.0,1.0,450.0,159.0,1.0,500.0,514.0,1.0
1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1975.0,2008.0,200.0,1.0,340.0,150.0,1.0,450.0,159.0,1.0
1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,1975.0,2008.0,267.0,0.79,720.0,200.0,1.0,340.0,150.0,1.0
1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,433.0,0.51,540.0,267.0,0.79,720.0,200.0,1.0
1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,1975.0,2008.0,498.0,0.63,640.0,433.0,0.51,540.0,267.0,0.79
1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,1975.0,2008.0,1366.0,0.57,691.0,498.0,0.63,640.0,433.0,0.51
1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,1975.0,2008.0,793.0,0.27,784.0,1366.0,0.57,691.0,498.0,0.63
1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,1975.0,2008.0,1555.0,0.59,951.0,793.0,0.27,784.0,1366.0,0.57
1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,1975.0,2008.0,955.0,0.42,627.0,1555.0,0.59,951.0,793.0,0.27
1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,1975.0,2008.0,270.0,0.23,706.0,955.0,0.42,627.0,1555.0,0.59
1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,1975.0,2008.0,638.0,0.54,335.0,270.0,0.23,706.0,955.0,0.42
1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,1975.0,2008.0,893.0,0.82,590.0,638.0,0.54,335.0,270.0,0.23
1993,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,952.0,1975.0,2008.0,1284.0,0.78,668.0,893.0,0.82,590.0,638.0,0.54
1994,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,606.0,1975.0,2008.0,373.0,0.67,952.0,1284.0,0.78,668.0,893.0,0.82
1995,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,637.0,1975.0,2008.0,263.0,0.55,606.0,373.0,0.67,952.0,1284.0,0.78
1996,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,919.0,1975.0,2008.0,392.0,0.7,637.0,263.0,0.55,606.0,373.0,0.67
1997,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1007.0,1975.0,2008.0,784.0,0.79,919.0,392.0,0.7,637.0,263.0,0.55
1998,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,962.0,1975.0,2008.0,218.0,0.32,1007.0,784.0,0.79,919.0,392.0,0.7
1999,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1862.0,1975.0,2008.0,861.0,0.49,962.0,218.0,0.32,1007.0,784.0,0.79
2000,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,2664.0,1975.0,2008.0,978.0,0.43,1862.0,861.0,0.49,962.0,218.0,0.32
