Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior
1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1.0,640.0,600.0,470.0,1000.0
1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1.0,500.0,640.0,600.0,470.0
1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1.0,450.0,500.0,640.0,600.0
1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1.0,340.0,450.0,500.0,640.0
1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1.0,720.0,340.0,450.0,500.0
1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,0.79,426.6,720.0,340.0,450.0
1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,0.51,326.4,426.6,720.0,340.0
1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,0.63,435.33,326.4,426.6,720.0
1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,0.57,446.87999999999994,435.33,326.4,426.6
1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,0.27,256.77000000000004,446.87999999999994,435.33,326.4
1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,0.59,369.93,256.77000000000004,446.87999999999994,435.33
1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,0.42,296.52,369.93,256.77000000000004,446.87999999999994
1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,0.23,77.05,296.52,369.93,256.77000000000004
1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,0.54,318.6,77.05,296.52,369.93
1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,0.82,547.76,318.6,77.05,296.52
