Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior,Predicted_Wild_Spawners
1960,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2371.0,1.0,2371.0,280.56,301.59,378.21,1783.6405205722258
1961,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1540.0,1.0,1540.0,2371.0,280.56,301.59,1815.5328832639061
1962,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3056.0,1.0,3056.0,1540.0,2371.0,280.56,2199.6699005734554
1963,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1874.0,1.0,1874.0,3056.0,1540.0,2371.0,2203.288851896694
1964,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2771.0,1.0,2771.0,1874.0,3056.0,1540.0,2387.554129417549
1965,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3523.0,1.0,3523.0,2771.0,1874.0,3056.0,2247.900761450641
1966,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,6718.0,1.0,6718.0,3523.0,2771.0,1874.0,2342.8629435593903
1967,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3978.0,1.0,3978.0,6718.0,3523.0,2771.0,2658.117794109363
1968,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,4663.0,1.0,4663.0,3978.0,6718.0,3523.0,3270.0873763799464
1969,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3959.0,0.95,3761.05,4663.0,3978.0,6718.0,2916.1616458534845
1970,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3026.0,0.93,2814.18,3761.05,4663.0,3978.0,2783.315030497295
1971,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1589.0,1.0,1589.0,2814.18,3761.05,4663.0,2571.4638122632896
1972,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2783.0,1.0,2783.0,1589.0,2814.18,3761.05,2216.5962761320843
1973,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,5863.0,0.99,5804.37,2783.0,1589.0,2814.18,1887.7142295152444
1974,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1989.0,1.0,1989.0,5804.37,2783.0,1589.0,2127.5285974948056
1975,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3765.0,1.0,3765.0,1989.0,5804.37,2783.0,2696.4264354330953
1976,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2401.0,0.99,2376.99,3765.0,1989.0,5804.37,2137.141294662055
1977,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2862.0,0.99,2833.38,2376.99,3765.0,1989.0,2138.62174709377
1978,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3772.0,0.99,3734.28,2833.38,2376.99,3765.0,1958.3016163188586
1979,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1063.0,0.98,1041.74,3734.28,2833.38,2376.99,1947.6284075099975
1980,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1519.0,0.98,1488.62,1041.74,3734.28,2833.38,2042.8662347282661
1981,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1269.0,1.0,1269.0,1488.62,1041.74,3734.28,1512.5567437605496
1982,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1493.0,1.0,1493.0,1269.0,1488.62,1041.74,1357.218035291051
1983,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2547.0,1.0,2547.0,1493.0,1269.0,1488.62,1317.6685526187648
1984,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2022.0,1.0,2022.0,2547.0,1493.0,1269.0,1353.0267257204978
1985,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3331.0,1.0,3331.0,2022.0,2547.0,1493.0,1543.594279038065
1986,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2044.0,1.0,2044.0,3331.0,2022.0,2547.0,1525.31475696314
1987,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1920.0,1.0,1920.0,2044.0,3331.0,2022.0,1684.6934082860535
1988,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1525.0,1.0,1525.0,1920.0,2044.0,3331.0,1468.5027146312786
1989,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1396.0,1.0,1396.0,1525.0,1920.0,2044.0,1292.2913508335769
1990,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,999.0,1.0,999.0,1396.0,1525.0,1920.0,1157.5339458770177
1991,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,585.0,1.0,585.0,999.0,1396.0,1525.0,1049.3082163031795
1992,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1100.0,1.0,1100.0,585.0,999.0,1396.0,903.176936692762
1993,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1192.0,0.6,715.2,1100.0,585.0,999.0,767.0035688687494
1994,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,280.0,0.72,201.6,715.2,1100.0,585.0,796.8751581325341
1995,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,58.0,0.37,21.46,201.6,715.2,1100.0,699.6079889905086
1996,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,182.0,0.75,136.5,21.46,201.6,715.2,517.1216507455683
1997,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,389.0,0.49,190.61,136.5,21.46,201.6,407.61789140687324
1998,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,183.0,0.76,139.08,190.61,136.5,21.46,385.4699590234377
1999,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,133.0,0.91,121.03,139.08,190.61,136.5,369.1273783890647
2000,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,761.0,0.58,441.38,121.03,139.08,190.61,326.48132792761317
2001,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2957.0,0.28,827.96,441.38,121.03,139.08,295.41124890974606
2002,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1613.0,0.41,661.33,827.96,441.38,121.03,342.49078134413867
2003,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,595.0,0.61,362.95,661.33,827.96,441.38,409.6204043529142
