Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior,Predicted_Wild_Spawners
1960,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2371.0,1.0,2371.0,280.56,301.59,378.21,609.1633567889836
1961,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1540.0,1.0,1540.0,2371.0,280.56,301.59,1111.5831088372736
1962,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3056.0,1.0,3056.0,1540.0,2371.0,280.56,1752.5165639083616
1963,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1874.0,1.0,1874.0,3056.0,1540.0,2371.0,1899.9333668602412
1964,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2771.0,1.0,2771.0,1874.0,3056.0,1540.0,2178.8748184477245
1965,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3523.0,1.0,3523.0,2771.0,1874.0,3056.0,2001.2404498805229
1966,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,6718.0,1.0,6718.0,3523.0,2771.0,1874.0,2487.3338799688418
1967,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3978.0,1.0,3978.0,6718.0,3523.0,2771.0,3626.485614834083
1968,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,4663.0,1.0,4663.0,3978.0,6718.0,3523.0,4285.428922854049
1969,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3959.0,0.95,3761.05,4663.0,3978.0,6718.0,3513.2678341638984
1970,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3026.0,0.93,2814.18,3761.05,4663.0,3978.0,3423.6337478866717
1971,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1589.0,1.0,1589.0,2814.18,3761.05,4663.0,2861.2442592752577
1972,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2783.0,1.0,2783.0,1589.0,2814.18,3761.05,2128.1704848149466
1973,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,5863.0,0.99,5804.37,2783.0,1589.0,2814.18,1875.9642172144813
1974,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1989.0,1.0,1989.0,5804.37,2783.0,1589.0,3039.1493778717577
1975,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3765.0,1.0,3765.0,1989.0,5804.37,2783.0,3386.2133834808446
1976,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2401.0,0.99,2376.99,3765.0,1989.0,5804.37,2438.0471338976795
1977,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2862.0,0.99,2833.38,2376.99,3765.0,1989.0,2613.7261742654464
1978,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3772.0,0.99,3734.28,2833.38,2376.99,3765.0,2257.8477078646747
1979,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1063.0,0.98,1041.74,3734.28,2833.38,2376.99,2591.252357228115
1980,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1519.0,0.98,1488.62,1041.74,3734.28,2833.38,2316.991965316689
1981,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1269.0,1.0,1269.0,1488.62,1041.74,3734.28,1384.0700755628702
1982,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1493.0,1.0,1493.0,1269.0,1488.62,1041.74,1368.5869408085314
1983,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2547.0,1.0,2547.0,1493.0,1269.0,1488.62,1358.443009854229
1984,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2022.0,1.0,2022.0,2547.0,1493.0,1269.0,1697.2214300093879
1985,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3331.0,1.0,3331.0,2022.0,2547.0,1493.0,2006.6710636337252
1986,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2044.0,1.0,2044.0,3331.0,2022.0,2547.0,2172.2306452011935
1987,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1920.0,1.0,1920.0,2044.0,3331.0,2022.0,2357.6388872185366
1988,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1525.0,1.0,1525.0,1920.0,2044.0,3331.0,1874.9969476741467
1989,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1396.0,1.0,1396.0,1525.0,1920.0,2044.0,1659.3956794423093
1990,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,999.0,1.0,999.0,1396.0,1525.0,1920.0,1461.0570046879131
1991,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,585.0,1.0,585.0,999.0,1396.0,1525.0,1290.1110042039272
1992,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1100.0,1.0,1100.0,585.0,999.0,1396.0,1020.4865993339222
1993,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1192.0,0.6,715.2,1100.0,585.0,999.0,958.6667116360929
1994,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,280.0,0.72,201.6,715.2,1100.0,585.0,1050.5840736231028
1995,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,58.0,0.37,21.46,201.6,715.2,1100.0,795.4223789356026
1996,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,182.0,0.75,136.5,21.46,201.6,715.2,522.6518808758889
1997,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,389.0,0.49,190.61,136.5,21.46,201.6,450.86225895440845
1998,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,183.0,0.76,139.08,190.61,136.5,21.46,501.2646639143695
1999,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,133.0,0.91,121.03,139.08,190.61,136.5,516.5720001707267
2000,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,761.0,0.58,441.38,121.03,139.08,190.61,494.1138309378757
2001,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2957.0,0.28,827.96,441.38,121.03,139.08,562.9970504245941
