Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Predicted_Wild_Spawners
1962,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3056.0,1.0,3056.0,3460.4223423197836
1964,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2771.0,1.0,2771.0,3362.8607374090207
1965,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3523.0,1.0,3523.0,3283.4979375219846
1966,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,6718.0,1.0,6718.0,3630.2560447944707
1967,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3978.0,1.0,3978.0,4423.8179930844635
1968,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,4663.0,1.0,4663.0,3828.713682849004
1969,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3959.0,0.95,3761.05,3376.6964383493323
1970,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3026.0,0.93,2814.18,3407.464867350718
1971,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1589.0,1.0,1589.0,2931.911564669179
1972,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2783.0,1.0,2783.0,2536.526372004839
1973,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,5863.0,0.99,5804.37,2784.1979536472354
1974,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1989.0,1.0,1989.0,3786.0072989268665
1975,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3765.0,1.0,3765.0,2834.7502749475825
1976,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2401.0,0.99,2376.99,2600.2612721408223
1977,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2862.0,0.99,2833.38,2707.5828052104916
1978,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3772.0,0.99,3734.28,2461.8048589380633
1979,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1063.0,0.98,1041.74,2829.4917063548783
1980,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1519.0,0.98,1488.62,2064.7944544671045
1981,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1269.0,1.0,1269.0,1784.1731439256837
1982,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1493.0,1.0,1493.0,1975.4343579716078
1983,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2547.0,1.0,2547.0,1908.7409543028334
1984,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2022.0,1.0,2022.0,2178.581097269722
1985,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3331.0,1.0,3331.0,2046.8057774188346
1986,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2044.0,1.0,2044.0,2188.252294068472
1987,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1920.0,1.0,1920.0,1946.7350202617672
1988,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1525.0,1.0,1525.0,1598.2500237827626
1989,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1396.0,1.0,1396.0,1546.0788497317117
1990,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,999.0,1.0,999.0,1424.0311530938197
1991,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,585.0,1.0,585.0,1280.4907949069457
1992,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1100.0,1.0,1100.0,1080.504714030103
1993,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1192.0,0.6,715.2,1161.1896262264927
1994,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,280.0,0.72,201.6,1082.596510471325
1995,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,58.0,0.37,21.46,791.156114211306
1996,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,182.0,0.75,136.5,670.4944403283007
1997,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,389.0,0.49,190.61,674.8328611109318
1998,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,183.0,0.76,139.08,656.0129533313302
1999,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,133.0,0.91,121.03,572.6383383870998
2000,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,761.0,0.58,441.38,494.84065041031863
2001,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2957.0,0.28,827.96,523.7690996304591
2002,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1613.0,0.41,661.33,598.8484392885148
2003,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,595.0,0.61,362.95,493.87713039526716
2004,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1608.0,0.62,996.96,294.7590439666965
2005,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1472.0,0.2,294.4,395.50102547658025
2006,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,940.0,0.33,310.2,228.9680764519435
2007,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2006.0,0.2,401.2,41.39950198175211
2008,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2140.0,0.18,385.2,76.43334459030302
2009,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2195.0,0.27,592.65,90.26390026832814
2010,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1759.0,0.3,527.7,-0.06931620868272148
2011,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2990.0,0.41,1225.9,70.7006385611021
2012,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,NaN,NaN,NaN,113.53211548847321
2013,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,NaN,NaN,NaN,-298.8938500629447
2014,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,NaN,NaN,NaN,-603.9011328587803
