Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Predicted_Wild_Spawners
1962,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3056.0,1.0,3056.0,1858.3080569911306
1964,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2771.0,1.0,2771.0,2259.0961935800715
1965,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3523.0,1.0,3523.0,2236.7511570599436
1966,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,6718.0,1.0,6718.0,2919.816095069389
1967,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3978.0,1.0,3978.0,4676.562058231352
1968,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,4663.0,1.0,4663.0,4569.835487775541
1969,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3959.0,0.95,3761.05,3871.254223742754
1970,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3026.0,0.93,2814.18,3714.4651152369506
1971,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1589.0,1.0,1589.0,2941.109590713232
1972,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2783.0,1.0,2783.0,2028.6542834146114
1973,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,5863.0,0.99,5804.37,2138.977966025356
1974,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1989.0,1.0,1989.0,3985.8725988698943
1975,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3765.0,1.0,3765.0,3313.8195079110756
1976,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2401.0,0.99,2376.99,2729.2750879227024
1977,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2862.0,0.99,2833.38,2750.657059928122
1978,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3772.0,0.99,3734.28,2446.9547227018193
1979,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1063.0,0.98,1041.74,3038.7416997561722
1980,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1519.0,0.98,1488.62,2115.163915650116
1981,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1269.0,1.0,1269.0,1332.9905283127655
1982,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1493.0,1.0,1493.0,1405.9634980447488
1983,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2547.0,1.0,2547.0,1427.7630265148189
1984,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2022.0,1.0,2022.0,2000.6614796890615
1985,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,3331.0,1.0,3331.0,2141.6803410945768
