Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior,Predicted_Wild_Spawners,Hatchery_Spawners
1951,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1761.0,1.0,1761.0,1024.0,1938.0,18.15,1436.126194587391,0.0
1953,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2920.0,1.0,2920.0,3574.0,1761.0,1024.0,2045.828960765755,0.0
1954,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3054.0,1.0,3054.0,2920.0,3574.0,1761.0,2658.074000426358,0.0
1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,5856.0,1.0,5856.0,3054.0,2920.0,3574.0,2522.0525423105964,0.0
1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1728.0,1.0,1728.0,5856.0,3054.0,2920.0,3232.0314003101767,0.0
1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,6267.0,1.0,6267.0,1728.0,5856.0,3054.0,3357.1601000760156,0.0
1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1399.0,1.0,1399.0,6267.0,1728.0,5856.0,2951.4354923086275,0.0
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,965.0,1.0,965.0,1399.0,6267.0,1728.0,3372.466177762284,0.0
1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2710.0,1.0,2710.0,965.0,1399.0,6267.0,1533.7302120331556,0.0
1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1854.0,1.0,1854.0,2710.0,965.0,1399.0,1530.3773649098284,0.0
1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2081.0,1.0,2081.0,1854.0,2710.0,965.0,2003.386003921056,0.0
1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1116.0,1.0,1116.0,591.68,2081.0,1854.0,1484.63517112295,0.0
1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2097.0,1.0,2097.0,1116.0,591.68,2081.0,1022.5356690181792,0.0
1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1586.0,1.0,1586.0,2097.0,1116.0,591.68,1397.8317348476305,0.0
1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1871.0,1.0,1871.0,1586.0,2097.0,1116.0,1697.0428902683416,0.0
1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1804.0,1.0,1804.0,1871.0,1586.0,2097.0,1612.145289077192,0.0
1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2022.0,1.0,2022.0,1804.0,1871.0,1586.0,1684.0592051994652,0.0
1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2534.0,1.0,2534.0,2022.0,1804.0,1871.0,1725.6973467968899,0.0
1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1477.0,1.0,1477.0,2534.0,2022.0,1804.0,1936.5922525504427,0.0
1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3071.0,1.0,3071.0,1477.0,2534.0,2022.0,1895.1178301156542,0.0
1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2819.0,1.0,2819.0,3071.0,1477.0,2534.0,1886.7297547423816,0.0
