Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Stream
Mica Dam,240 m (790 ft)[4],"2,805[5]",British Columbia,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}52°04′39″N 118°33′59″W﻿ / ﻿52.07750°N 118.56639°W",1973,BC Hydro,Kinbasket Lake,Main Stem Columbia River
Revelstoke Dam,175 m (574 ft)[6],"2,480[5]",British Columbia,51°02′57″N 118°11′36″W﻿ / ﻿51.04917°N 118.19333°W,1984,BC Hydro,Revelstoke Lake,Main Stem Columbia River
Keenleyside Dam,52 m (171 ft)[7],185[8],British Columbia,49°20′18″N 117°46′18″W﻿ / ﻿49.33833°N 117.77167°W,1968,BC Hydro,Raised Arrow Lakes,Main Stem Columbia River
Grand Coulee Dam,550 ft (170 m)[9],"6,809[9]",Washington,47°57′26″N 118°58′39″W﻿ / ﻿47.95722°N 118.97750°W,1941 / 1974 [n 1],USBR,Franklin D. Roosevelt Lake,Main Stem Columbia River
Chief Joseph Dam,236 ft (72 m)[10],"2,620[11]",Washington,47°59′42″N 119°38′19″W﻿ / ﻿47.99500°N 119.63861°W,1955,USACE,Rufus Woods Lake,Main Stem Columbia River
Wells Dam,160 ft (49 m)[12],840[13],Washington,47°56′50″N 119°51′51″W﻿ / ﻿47.94722°N 119.86417°W,1967,Douglas PUD,Lake Pateros,Main Stem Columbia River
Rocky Reach Dam,130 ft (40 m)[14],"1,287[15]",Washington,47°31′59″N 120°17′41″W﻿ / ﻿47.53306°N 120.29472°W,1961,Chelan PUD,Lake Entiat,Main Stem Columbia River
Rock Island Dam,135 ft (41 m)[16],660[17],Washington,47°20′33″N 120°05′40″W﻿ / ﻿47.34250°N 120.09444°W,1933[18],Chelan PUD,Rock Island Pool,Main Stem Columbia River
Wanapum Dam,185 ft (56 m)[19],"1,092[19]",Washington,46°52′40″N 119°58′13″W﻿ / ﻿46.87778°N 119.97028°W,1963,Grant PUD,Lake Wanapum,Main Stem Columbia River
Priest Rapids Dam,178 ft (54 m)[20],955.6[21],Washington,46°38′39″N 119°54′36″W﻿ / ﻿46.64417°N 119.91000°W,1961,Grant PUD,Priest Rapids Lake,Main Stem Columbia River
McNary Dam,183 ft (56 m)[22],"1,133[23]",Washington /   Oregon border,45°56′07″N 119°17′53″W﻿ / ﻿45.93528°N 119.29806°W,1954,USACE,Lake Wallula,Main Stem Columbia River
John Day Dam,184 ft (56 m),"2,485[24]",Washington /   Oregon border,45°42′57″N 120°41′37″W﻿ / ﻿45.71583°N 120.69361°W,1971,USACE,Lake Umatilla,Main Stem Columbia River
The Dalles Dam,260 ft (79 m),"2,038[25]",Washington /   Oregon border,45°36′50″N 121°08′02″W﻿ / ﻿45.61389°N 121.13389°W,1957,USACE,Lake Celilo,Main Stem Columbia River
Bonneville Dam,197 ft (60 m)[26],"1,190[27]",Washington /   Oregon border,45°38′42″N 121°56′27″W﻿ / ﻿45.64500°N 121.94083°W,1937 / 1981 [n 2],USACE,Lake Bonneville,Main Stem Columbia River
