Name,Height (ft),Capacity (MW),Province/State(s),Latitude,Longitude,Year of completion,Stream
Aberfeldie Dam,90,24[144],British Columbia,49.49944,-115.350830,1922 (rebuilt 1953),Bull River
Revelstoke Dam,175,"2,480[5]",British Columbia,51.04917,-118.193330,1984,Main Stem Columbia River
Keenleyside Dam,52,185[8],British Columbia,49.33833,-117.771670,1968,Main Stem Columbia River
Duncan Dam,130,0,British Columbia,50.25000,-116.946390,1967,Duncan River
Elko Dam,52,12[146],British Columbia,49.29000,-115.104440,1924,Elk River
Corra Linn Dam,52,51[137],British Columbia,49.46778,-117.467220,1932[137],Kootenay River
Upper Bonnington Falls Dam,69,53[8],British Columbia,49.45972,-117.484170,1907[8],Kootenay River
Lower Bonnington Falls Dam,69,25[8],British Columbia,49.46083,-117.499720,1925[8],Kootenay River
South Slocan Dam,59,57[8],British Columbia,49.45556,-117.519720,1928[8],Kootenay River
Kootenay Canal Generating Station,276,583[8],British Columbia,49.45278,-117.517220,1976[8],Kootenay River
Brilliant Dam,140,260[n 18],British Columbia,49.32472,-117.620000,1944 / 2007[n 18],Kootenay River
Upper Mark Creek Dam,71,0,British Columbia,49.71000,-116.042500,1994,Mark Creek
Seven Mile Dam,260,848,British Columbia,49.03028,-117.503610,1979[163],Pend Oreille River/Clark Fork River
Waneta Dam,249,450[164],British Columbia,49.00389,-117.611670,1954[162],Pend Oreille River/Clark Fork River
Waneta Dam Expansion,249,335,British Columbia,49.00389,-117.611670,2015[165],Pend Oreille River/Clark Fork River
Spillimacheen Dam,48,4,British Columbia,50.89889,-116.424440,1955[224],Spillimacheen River
Magic Dam,128,9[129],Idaho,43.25000,-114.370000,1910[128],Big Wood River
Blackfoot Dam,44,0,Idaho,?43.00000,-111.710000,1911[85],Blackfoot River
Arrowrock Dam,350,15[98],Idaho,43.60000,-115.920000,1915,Boise River
Lucky Peak Dam,340,101.25[100],Idaho,43.52000,-116.050000,1955,Boise River
Boise River Diversion Dam,68,3.3[98],Idaho,43.53000,-116.090000,1908,Boise River
Barber Dam,25,4.14[103],Idaho,43.57000,-116.120000,1904,Boise River
Mormon Dam (McKinney Creek),23,0,Idaho,43.28000,-114.800000,1908,Camas Creek
Oakley Dam,139,0,Idaho,42.19000,-113.910000,1916,Goose Creek
Henrys Lake Dam,18,0,Idaho,44.59000,-111.350000,1923[86],Henrys Fork
Island Park Dam,94,4.8[32],Idaho,?44.42000,-111.390000,1938[87],Henrys Fork
Buffalo River Dam (Buffalo River),12,0.25,Idaho,44.41444,-111.392780,1980,Henrys Fork
Ashton Dam,56.6,6.85,Idaho,44.07000,-111.490000,1913[90],Henrys Fork
Chester Dam (Crosscut Diversion Dam),14.5,3.3[92],Idaho,44.01000,-111.580000,1938,Henrys Fork
Goose Lake Dam (Goose Creek),26,0,Idaho,?45.07028,-116.169170,1924,Little Salmon River
Brundage Dam (Brundage Creek(Goose Creek)),64,0,Idaho,?45.04167,-116.131390,1989,Little Salmon River
Little Wood River Dam,169,3[132],Idaho,?43.42000,-114.020000,1962[131],Little Wood River
Fish Creek Dam (Fish Creek),88,0,Idaho,?43.42000,-114.830000,1923[133],Little Wood River
Malad Gorge Dam and Power Flume (Upper and Lower),550,8.27[127],Idaho,?42.85778,-114.876390,1911/1948[127],Malad River
Upper Payette Lake Dam,18,0,Idaho,45.11111,-116.026390,1952,North Fork Payette River
Granite Lake Dam (Fisher Creek),28,0,Idaho,?45.10056,-116.080830,1963,North Fork Payette River
Payette Lake Dam,8.2,0,Idaho,?44.91000,-116.110000,1943,North Fork Payette River
Little Payette Lake Dam (Lake Fork),15.8,0,Idaho,44.90000,-116.040000,1926,North Fork Payette River
Cascade Dam,107,12.8[98],Idaho,44.52000,-116.050000,1948,North Fork Payette River
Sage Hen Dam(Sage Hen Creek(Second Fork Squaw Creek)),38,0,Idaho,?44.32000,-116.190000,1938,North Fork Payette River
Paddock Valley Dam (Little Willow Creek),43,0,Idaho,?44.19000,-116.590000,1949,North Fork Payette River
Black Canyon Diversion Dam,183,10.2[98],Idaho,?43.88000,-116.480000,1924,Payette River
Cabinet Gorge Dam,208,255[158],Idaho,48.08556,-116.057500,1952[158],Pend Oreille River/Clark Fork River
Albeni Falls Dam,90,42[154],Idaho,48.18000,-116.999720,1955,Pend Oreille River/Clark Fork River
Portneuf Dam,47,0,Idaho,42.87000,-111.940000,1912,Portneuf River
Salmon Falls Dam,217,0,Idaho,42.21000,-114.730000,1911,Salmon Falls Creek
Cedar Creek Dam (Cedar Creek),84,0,Idaho,42.22000,-114.870000,1920,Salmon Falls Creek
Anderson Ranch Dam,456,40[98],Idaho,43.36000,-115.440000,1947,South Fork Boise River
Little Camas Dam (Little Camas Creek),44,0,Idaho,43.35000,-115.380000,1912,South Fork Boise River
Deadwood Dam (Deadwood River),183,0[98],Idaho,?44.29000,-115.640000,1931,South Fork Payette River
Post Falls Hydroelectric Development,64,15[205],Idaho,47.70861,-116.953610,1908[205],Spokane River
Lost Valley Dam (Lost Creek(West Fork Weiser River)),52,0,Idaho,44.95639,-116.467220,1929,Weiser River
C Ben Ross Dam (Little Weiser River),56,0,Idaho,44.52000,-116.440000,1937,Weiser River
Crane Creek Dam (Crane Creek),55,0,Idaho,44.35000,-116.610000,1912,Weiser River
Mann Creek Dam (Mann Creek),148,0[111],Idaho,44.39000,-116.890000,1967,Weiser River
Ririe Dam,253,0,Idaho,43.58000,-111.740000,1977[116],Willow Creek
Dworshak Dam,717,400,Idaho,?46.500,-116.300000,1973,North Fork Clearwater River
Palisades Dam,270,176.6[29],Idaho,43.33306,-111.203330,1957,Snake River
Gem State Dam,40,22.6[30],Idaho,43.42194,-112.102220,1982,Snake River
American Falls Dam,104,112.4[32],Idaho,42.77861,-112.876390,1927 / 1978[n 4],Snake River
Minidoka Dam,86,28.5[33],Idaho,42.66944,-113.484170,1909-1942[33],Snake River
Milner Dam,38,59.5[35],Idaho,42.52500,-114.009720,1905,Snake River
Twin Falls Dam,25,52.9[36],Idaho,42.58917,-114.355560,1935 / 1995[n 6],Snake River
Shoshone Falls Dam,16,64[38],Idaho,42.59639,-114.401110,1907[38],Snake River
Upper Salmon Falls Dam,18,34.5[35],Idaho,42.76639,-114.895830,1937 / 1947[n 7],Snake River
Lower Salmon Falls Dam,38,60[35],Idaho,42.84167,-114.915000,1910 / 1949[n 8],Snake River
Bliss Dam,84,75[35],Idaho,42.91361,-115.071110,1950,Snake River
C. J. Strike Dam,115,82.8[40],Idaho,42.94750,-115.975280,1952[40],Snake River
Swan Falls Dam,107,25[n 9],Idaho,43.24306,-116.379440,1901,Snake River
Brownlee Dam,420,585[44],Idaho /  ÿOregon border,44.83694,-116.900830,1959 / 1980[n 10],Snake River
Oxbow Dam,175,220[46],Idaho /  ÿOregon border,44.97083,-116.835280,1961,Snake River
Hells Canyon Dam,330,450[48],Idaho /  ÿOregon border,45.24278,-116.701390,1967,Snake River
Hungry Horse Dam,564,428[167],Montana,48.34111,-114.013060,1953[168],Flathead River
Seli?? Ksanka Qlispe? Dam (Kerr Dam),205,188[170],Montana,47.67722,-114.233890,1938[168],Flathead River
Libby Dam,420,604[135],Montana,48.41028,-115.314440,1972[136],Kootenay River
Thompson Falls Dam,110,94[153],Montana,47.59111,-115.350830,1915[150],Pend Oreille River/Clark Fork River
Noxon Rapids Dam,260,527[155],Montana,47.96083,-115.733610,1959[156],Pend Oreille River/Clark Fork River
Wild Horse Dam,114,0,Nevada,41.68722,-115.845280,1937 / 1969[n 13],Owyhee River
